College Name,CGPA
A. C. Patil College of Engineering,7.7729729729729735
ADHIYAMAAN COLLEGE OF ENGINEERING,7.645454545454545
AP SHAH INSTITUTE OF TECHNOLOGY ,8.283333333333333
"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",8.456410256410257
CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,7.954545454545454
D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,8.266666666666666
DKTE Society's Textile And Engineering Institute Ichalkaranji,7.967567567567568
Don Bosco College of Engineering Fatorda Goa,8.232142857142858
G H Raisoni institut of engineering and technology pune,7.889473684210526
GOVERNMENT POLYTECHNIC GANDHINAGAR,7.755
"KLE Society's College of BCA, RLS Institute, Belagavi",8.018918918918919
"LD College of engineering, Ahmedabad, Gujarat ",7.896
LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,8.033333333333333
Late G. N. Sapkal College Of Engineering,7.8999999999999995
"MIT Academy Of Engineering ,Alandi",8.282352941176471
New horizon institute of Technology and Management ,8.148275862068965
Pillai College of Engineering New Panvel,7.789285714285714
"Priyadarshini college of engineering, Nagpur ",7.980392156862745
"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",7.80625
Silicon Institute of Technology,8.15
St Xavier's College ,8.578571428571427
St.Francis Institute of Technology,7.7749999999999995
"Symbiosis Institute of Technology, Pune",8.303448275862069
"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",8.585714285714285
"Vidyalankar Institute of Technology, Mumbai",8.196078431372548
"Vishwakarma Institute of Technology, Pune",8.044444444444444
Wilson college ,8.127027027027026
a. c. patil college of engineering,7.975138121546961
adhiyamaan college of engineering,7.95655737704918
ap shah institute of technology ,8.125
"b. k. birla college of arts, science & commerce (autonomous), kalyan",8.099029126213592
chhattisgarh swami vivekananda technical university teaching department bhilai,8.069672131147541
d y patil institute of mca and management akurdi pune,8.025
dkte society's textile and engineering institute ichalkaranji,8.028021978021977
don bosco college of engineering fatorda goa,7.993661971830985
g h raisoni institut of engineering and technology pune,8.107608695652173
government polytechnic gandhinagar,7.965048543689321
"kle society's college of bca, rls institute, belagavi",8.046031746031746
late g. n. sapkal college of engineering,8.066433566433567
"ld college of engineering, ahmedabad, gujarat ",8.061693548387096
lokmanya tilak college of engineering koparkhairane navi mumbai,7.837037037037036
"mit academy of engineering ,alandi",8.017791411042944
na,7.466666666666666
new horizon institute of technology and management ,8.078472222222222
pillai college of engineering new panvel,8.090845070422535
"priyadarshini college of engineering, nagpur ",8.006130268199234
"s.i.e.s. graduate school of technology, nerul, navi mumbai",7.864705882352941
silicon institute of technology,7.927049180327869
st xavier's college ,8.126086956521739
st.francis institute of technology,7.990972222222222
"symbiosis institute of technology, pune",8.004895104895105
"thakur institute of management studies, career development & research - [timscdr]",8.076923076923077
"vidyalankar institute of technology, mumbai",8.104651162790697
"vishwakarma institute of technology, pune",8.133333333333333
wilson college ,8.043093922651934
