Designation,Total Count
Students,4544
Intern,74
Engineering ,38
Data Science and Analyst,34
Asst. Professor,33
HoD,19
Computer Engineer,15
B.Tech,13
Civil Engineering,10
Principal,10
BE IT,9
Web Development,8
CSE,8
Professor,7
Artificial intelligence,7
IT,7
Electrical Engineering,5
BE CS,5
Software Engineer,4
Mechanical Engineer,4
Computer applications,4
Cyber Security,4
BE,3
IT Engineering,3
CS,2
MTech,1
Django,1
PGDM Marketing student,1
SPC,1
Aerospace engineer ,1
MCA,1
Director T& P,1
Interior designer,1
Flutter Developer,1
Sr. Manager,1
Founder,1
Graphic designer ,1
CVO,1
B Sc IT,1
Key Account manager,1
Research Scholar,1
CEO,1
Software developer,1
Executive Security Operations Center (SOC),1
Recruitment Manager,1
MBA Student,1
Administrative Officer ,1
Digital Marketing Intern,1
Diploma In Electrical Engineering,1
